,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Operating System Version,Weight,Price,Pixel,full_hd,ips panel,touchscreen,4k ultra hd,quad hd+,retina display,CPU-a,CPU-b,SSD,HDD,Flash_storage,Hybrid_storage,GPU-a,GPU-b,MX_GPU,Gr_AMDc,Gr_AMDr,GTX_card
254,Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,256GB SSD,Nvidia GeForce MX130,Windows,10,3.0,17790.2244,1920x1080,1,1,0,0,0,0,Intel Core i3,2.7,256,0,0,0,Nvidia GeForce,MX130,130,0,0,0
255,Dell,Vostro 5370,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.41,24049.7478,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
256,HP,15-BW094nd,Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8,128GB SSD,AMD Radeon R4 Graphics,Windows,10,1.91,11300.08698,1366x768,0,0,0,0,0,0,AMD A6-Series,2.5,128,0,0,0,AMD Radeon,Graphics,0,530,0,0
257,HP,Envy 17-U275cl,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,1TB HDD,Nvidia GeForce MX150,Windows,10,2.9,26837.3898,1920x1080,1,1,0,0,0,0,Intel Core i7,1.8,0,1024,0,0,Nvidia GeForce,MX150,150,0,0,0
258,MSI,GT73EVR 7RE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.14,63330.1578,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,512,1024,0,0,Nvidia GeForce,1070,0,0,0,1070
259,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Nvidia GeForce GTX 1050M,Windows,10,2.0,43056.3978,1920x1080,1,1,1,0,0,0,Intel Core i7,2.8,512,0,0,0,Nvidia GeForce,1050M,0,0,0,0
260,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8,28940.7924,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,128,1024,0,0,AMD Radeon,530,0,530,0,0
261,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,No OS,No_ver,2.2,11251.9368,1920x1080,1,0,0,0,0,0,Intel Core i3,2.0,256,0,0,0,Intel HD Graphics,520,0,520,0,0
262,HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel HD Graphics 620,Windows,10,2.1,18297.0684,1920x1080,1,1,0,0,0,0,Intel Core i5,1.6,0,500,0,0,Intel HD Graphics,620,0,620,0,0
263,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows,10,2.18,16649.8254,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
264,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R5 M430,Windows,10,2.24,14318.343,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,0,1024,0,0,AMD Radeon,M430,0,430,0,0
265,Dell,Inspiron 5579,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,2.67,20248.4178,1920x1080,1,0,1,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
266,Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD +  512GB SSD,Intel UHD Graphics 620,Windows,10,1.1,37987.9578,1920x1080,1,0,1,0,0,0,Intel Core i7,1.8,1024,0,0,0,Intel UHD Graphics,620,0,620,0,0
267,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,No OS,No_ver,2.2,11834.8074,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
268,HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5,25798.3596,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,0,1024,0,0,Nvidia GeForce,930MX,930,0,0,0
269,Lenovo,V330-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,2.05,22301.136,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
270,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8,512GB SSD,Intel Iris Graphics 550,macOS,No_ver,1.37,49642.83558,2560x1600,0,1,0,0,0,1,Intel Core i5,2.9,512,0,0,0,Intel Iris Graphics,550,0,0,550,0
271,Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2,39255.0678,1920x1080,1,0,0,0,0,0,AMD Ryzen 1,3.0,256,1024,0,0,AMD Radeon,580,0,0,580,0
272,Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,Linux,No_ver,2.14,18628.290954,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,256,0,0,0,AMD Radeon,520,0,520,0,0
273,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16,512GB SSD,Intel HD Graphics 520,Windows,10,1.36,63330.1578,2560x1440,0,0,1,0,0,0,Intel Core i7,2.6,512,0,0,0,Intel HD Graphics,520,0,520,0,0
274,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8,500GB HDD,Nvidia GeForce 930M,Windows,10,2.2,20577.8664,1366x768,0,0,0,0,0,0,Intel Core i7,2.5,0,500,0,0,Nvidia GeForce,930M,0,0,0,0
275,Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,12,1TB HDD,Intel HD Graphics 620,Windows,10,2.3,18070.762554,1366x768,0,0,0,0,0,0,Intel Core i7,2.7,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
276,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,No_ver,2.8,27851.0778,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,128,1024,0,0,AMD Radeon,530,0,530,0,0
277,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX130,Windows,10,2.2,18879.939,1920x1080,1,1,0,0,0,0,Intel Core i7,1.8,0,1024,0,0,Nvidia GeForce,MX130,130,0,0,0
278,Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows,10,2.8,12392.3358,1600x900,0,0,0,0,0,0,Intel Core i3,2.0,0,1024,0,0,Intel HD Graphics,520,0,520,0,0
279,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,2TB HDD,Nvidia GeForce MX150,No OS,No_ver,2.8,21515.5278,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,0,2048,0,0,Nvidia GeForce,MX150,150,0,0,0
280,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.8,21768.9498,1600x900,0,0,0,0,0,0,Intel Core i7,2.7,128,1024,0,0,Nvidia GeForce,940MX,940,0,0,0
281,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4,1TB HDD,AMD Radeon R5 M430,Linux,No_ver,2.25,10846.4616,1920x1080,1,0,0,0,0,0,Intel Core i3,2.0,0,1024,0,0,AMD Radeon,M430,0,430,0,0
282,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.5,21008.6838,1920x1080,1,1,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Nvidia GeForce,1050,0,0,0,1050
283,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Intel HD Graphics 620,Windows,10,2.2,14673.1338,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Intel HD Graphics,620,0,620,0,0
284,Acer,Aspire A517-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,Windows,10,3.0,24100.4322,1920x1080,1,1,0,0,0,0,Intel Core i7,1.8,256,0,0,0,Nvidia GeForce,MX150,150,0,0,0
285,Acer,SP315-51,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,1TB HDD,Intel HD Graphics 620,Windows,10,2.15,16700.5098,1920x1080,1,1,1,0,0,0,Intel Core i7,2.7,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
286,Lenovo,Thinkpad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 630,Windows,10,1.95,27800.3934,1920x1080,1,1,0,0,0,0,Intel Core i7,2.7,256,0,0,0,Intel HD Graphics,630,0,630,0,0
287,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.7,24759.3294,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Nvidia GeForce,940MX,940,0,0,0
288,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,29878.4538,1920x1080,1,1,0,0,0,0,Intel Core i7,2.8,256,1024,0,0,Nvidia GeForce,1050 Ti,0,0,0,1050
289,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce 940MX,No OS,No_ver,2.2,16700.763222,1920x1080,1,0,0,0,0,0,Intel Core i7,2.7,0,1024,0,0,Nvidia GeForce,940MX,940,0,0,0
290,Acer,Chromebook C910-C2ST,Notebook,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2,16GB SSD,Intel HD Graphics,Chrome OS,No_ver,2.19,5043.0978,1366x768,0,0,0,0,0,0,Intel Celeron Dual Core,1.5,16,0,0,0,Intel HD Graphics,Graphics,0,530,0,0
291,Asus,FX753VD-GC071T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3.0,30081.1914,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,0,1024,0,0,Nvidia GeForce,1050,0,0,0,1050
292,HP,17-BS037cl,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,Windows,10,2.54,12392.3358,1600x900,0,0,0,0,0,0,Intel Core i3,2.0,0,1024,0,0,Intel HD Graphics,520,0,520,0,0
293,Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.0,46350.8838,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,256,0,0,0,Nvidia GeForce,1050,0,0,0,1050
294,Lenovo,V330-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,2.05,18727.8858,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
295,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1060,Windows,10,3.2,32919.5178,1920x1080,1,1,0,0,0,0,Intel Core i7,2.8,0,1024,0,0,Nvidia GeForce,1060,0,0,0,1060
296,Acer,Aspire A715-71G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050 Ti,Linux,No_ver,2.5,24810.0138,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,256,0,0,0,Nvidia GeForce,1050 Ti,0,0,0,1050
297,Dell,Precision 7720,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16,256GB SSD,Nvidia Quadro M1200,Windows,10,3.42,73108.69909200001,1920x1080,1,0,0,0,0,0,Intel Core i7,2.9,256,0,0,0,Nvidia Quadro,M1200,0,0,1200,0
298,Lenovo,IdeaPad 310-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6,1TB HDD,AMD Radeon R5 430,Windows,10,2.4,12645.7578,1920x1080,1,0,0,0,0,0,AMD A10-Series,2.4,0,1024,0,0,AMD Radeon,430,0,430,0,0
299,Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Nvidia GeForce 940MX,Windows,10,1.63,37202.3496,1920x1080,1,0,0,0,0,0,Intel Core i7,2.7,512,0,0,0,Nvidia GeForce,940MX,940,0,0,0
300,Asus,VivoBook S14,Notebook,14.0,1366x768,Intel Core i3 7100U 2.4GHz,4,128GB SSD,Intel HD Graphics 620,Windows,10,1.3,12899.1798,1366x768,0,0,0,0,0,0,Intel Core i3,2.4,128,0,0,0,Intel HD Graphics,620,0,620,0,0
301,Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.9,53776.1484,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,256,1024,0,0,Nvidia GeForce,1070,0,0,0,1070
302,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6,1TB HDD,Nvidia GeForce GTX 940M,Windows,10,2.8,16447.0878,1600x900,0,0,0,0,0,0,Intel Core i5,2.5,0,1024,0,0,Nvidia GeForce,940M,0,0,0,0
303,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Nvidia GeForce 940MX,No OS,No_ver,2.2,13912.8678,1366x768,0,0,0,0,0,0,Intel Core i5,2.5,0,2048,0,0,Nvidia GeForce,940MX,940,0,0,0
304,Asus,GL553VE-FY082T,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,32057.883,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,128,1024,0,0,Nvidia GeForce,1050 Ti,0,0,0,1050
305,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,No OS,No_ver,2.2,9122.938578000001,1366x768,0,0,0,0,0,0,Intel Pentium Quad Core,1.1,0,1024,0,0,Intel HD Graphics,505,0,505,0,0
306,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16,256GB SSD,Intel HD Graphics 620,Windows,10,1.28,50050.845,1920x1080,1,0,1,0,0,0,Intel Core i7,2.8,256,0,0,0,Intel HD Graphics,620,0,620,0,0
307,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256GB SSD,Nvidia GeForce 930M,Windows,10,2.2,26431.9146,1920x1080,1,1,0,0,0,0,Intel Core i7,2.5,256,0,0,0,Nvidia GeForce,930M,0,0,0,0
308,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.3,20755.2618,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,128,1024,0,0,Nvidia GeForce,940MX,940,0,0,0
309,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows,10,1.86,11885.4918,1920x1080,1,0,0,0,0,0,Intel Core i3,2.0,0,1024,0,0,Intel HD Graphics,520,0,520,0,0
310,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.1,25316.8578,1920x1080,1,1,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Intel HD Graphics,620,0,620,0,0
311,Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1TB SSD,Intel UHD Graphics 620,Windows,10,1.21,63330.1578,3840x2160,0,1,1,1,0,0,Intel Core i7,1.8,1024,0,0,0,Intel UHD Graphics,620,0,620,0,0
312,MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.8,53193.2778,1920x1080,1,1,0,0,0,0,Intel Core i7,2.8,256,1024,0,0,Nvidia GeForce,1070,0,0,0,1070
313,Acer,ES1-523-84K7,Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8,256GB SSD,AMD Radeon R5,Windows,10,2.23,11885.4918,1920x1080,1,0,0,0,0,0,AMD A8-Series,2.2,256,0,0,0,AMD Radeon,R5,0,0,0,0
314,Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.1,6969.105,1366x768,0,0,1,0,0,0,Intel Celeron Dual Core,1.1,0,0,32,0,Intel HD Graphics,500,0,500,0,0
315,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.33,21388.8168,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,128,1024,0,0,AMD Radeon,530,0,530,0,0
316,HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1TB SSD,Intel UHD Graphics 620,Windows,10,1.29,62063.0478,3840x2160,0,1,1,1,0,0,Intel Core i7,1.8,1024,0,0,0,Intel UHD Graphics,620,0,620,0,0
317,Lenovo,ThinkPad 13,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4,16GB Flash Storage,Intel HD Graphics 510,Chrome OS,No_ver,1.45,11654.87778,1366x768,0,0,0,0,0,0,Intel Celeron Dual Core,1.6,0,0,16,0,Intel HD Graphics,510,0,510,0,0
318,HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.95,24835.356,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Intel HD Graphics,620,0,620,0,0
319,Acer,TravelMate B,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4,128GB Flash Storage,Intel HD Graphics 405,Windows,10,1.4,12290.967,1366x768,0,0,0,0,0,0,Intel Pentium Quad Core,1.6,0,0,128,0,Intel HD Graphics,405,0,405,0,0
320,HP,Elitebook 840,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.48,32742.1224,1920x1080,1,0,0,0,0,0,Intel Core i7,2.7,256,0,0,0,Intel HD Graphics,620,0,620,0,0
321,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.79,14926.5558,1600x900,0,0,0,0,0,0,Intel Core i5,2.5,0,1024,0,0,Nvidia GeForce,920MX,920,0,0,0
322,Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,2.0,27724.3668,1920x1080,1,0,0,0,0,0,Intel Core i7,2.7,256,0,0,0,Intel HD Graphics,620,0,620,0,0
323,HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Intel UHD Graphics 620,Windows,10,2.1,22858.6644,1366x768,1,1,0,0,0,0,Intel Core i7,1.8,0,1024,0,0,Intel UHD Graphics,620,0,620,0,0
324,Acer,Aspire 5,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8,256GB SSD,AMD Radeon RX 540,Windows,10,2.2,16700.5098,1366x768,0,0,0,0,0,0,AMD A12-Series,2.7,256,0,0,0,AMD Radeon,540,0,0,540,0
325,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.44,7399.9224,1366x768,0,0,0,0,0,0,Intel Celeron Dual Core,1.1,0,0,32,0,Intel HD Graphics,500,0,500,0,0
326,Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6,1TB HDD,Intel HD Graphics 620,Windows,10,2.23,13912.8678,1366x768,0,0,0,0,0,0,Intel Core i5,2.5,0,1024,0,0,Intel HD Graphics,620,0,620,0,0
327,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.7,26606.77578,1920x1080,1,0,0,0,0,0,Intel Core i7,2.7,256,0,0,0,Nvidia GeForce,940MX,940,0,0,0
328,HP,Elitebook 820,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.26,33831.837,1920x1080,1,0,0,0,0,0,Intel Core i7,2.7,256,0,0,0,Intel HD Graphics,620,0,620,0,0
329,Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32,1TB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06,66878.0658,3840x2160,0,0,1,1,0,0,Intel Core i7,2.8,1024,0,0,0,Nvidia GeForce,1050,0,0,0,1050
330,MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7,30385.2978,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,256,1024,0,0,Nvidia GeForce,1050 Ti,0,0,0,1050
331,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,2.0,23897.6946,1920x1080,1,1,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Intel HD Graphics,620,0,620,0,0
332,Asus,UX510UX-CN269T,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows,10,2.0,33806.4948,1920x1080,1,0,0,0,0,0,Intel Core i7,2.7,256,1024,0,0,Intel HD Graphics,620,0,620,0,0
333,Lenovo,V310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows,10,1.85,11378.6478,1920x1080,1,0,0,0,0,0,Intel Core i3,2.0,0,1024,0,0,Intel HD Graphics,520,0,520,0,0
334,Asus,FX553VD-FY647T,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2.5,25316.8578,1920x1080,1,0,0,0,0,0,Intel Core i7,2.8,256,0,0,0,Nvidia GeForce,1050,0,0,0,1050
335,HP,EliteBook 840,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.48,32133.9096,1920x1080,1,0,0,0,0,0,Intel Core i5,2.6,256,0,0,0,Intel HD Graphics,620,0,620,0,0
336,Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,1.9,26583.9678,1920x1080,1,1,0,0,0,0,Intel Core i5,1.6,128,1024,0,0,Nvidia GeForce,940MX,940,0,0,0
337,HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.84,28991.4768,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Intel HD Graphics,620,0,620,0,0
338,Asus,X541NA,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,Linux,No_ver,2.0,6968.851578000001,1366x768,0,0,0,0,0,0,Intel Celeron Dual Core,1.1,0,1024,0,0,Intel HD Graphics,500,0,500,0,0
339,Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows,10,2.0,28959.79905,1920x1080,1,0,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Nvidia GeForce,940MX,940,0,0,0
340,Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics,Linux,No_ver,2.2,6966.57078,1366x768,0,0,0,0,0,0,Intel Celeron Dual Core,1.6,0,500,0,0,Intel HD Graphics,Graphics,0,530,0,0
